,Aggravated assault,Burglary,Counties/principal cities,Forcible rape,Larceny- theft,Larceny-theft,Larcenyâ€‘ theft,Motor vehicle theft,Murder and nonnegligent manslaughter,Population,Property crime,Rape 1,Robbery,Violent crime,counties,msa_label,msa_pop,year
13980,5176.3,3252.9,"Rate per 100,000 inhabitants",248.7,614.2,,,,42.2,837.4,1309.2,,536,10.5,Includes Chester and Madison Counties,"Jackson, TN M.S.A.",113807,2007
13981,4660,11115,City of Jacksonville,249,29484,,,4817,123,797350,45416,,3114,8146,"Includes Baker, Clay, Duval, Nassau,1 and St. Johns Counties","Jacksonville, FL M.S.A.1",1290776,2007
13982,,14685,Total area actually reporting,361,39968,,,5879,139,99.5,60532,,3480,,"Includes Baker, Clay, Duval, Nassau,1 and St. Johns Counties","Jacksonville, FL M.S.A.1",1290776,2007
13983,,14748,Estimated total,363,40165,,,5906,139,100,60819,,3494,,"Includes Baker, Clay, Duval, Nassau,1 and St. Johns Counties","Jacksonville, FL M.S.A.1",1290776,2007
13984,4711.8,3111.7,"Rate per 100,000 inhabitants",270.7,457.6,,,,28.1,,1142.6,,,10.8,"Includes Baker, Clay, Duval, Nassau,1 and St. Johns Counties","Jacksonville, FL M.S.A.1",1290776,2007
13985,176,550,City of Jacksonville,30,1614,,,133,7,70368,2297,,65,278,Includes Onslow County,"Jacksonville, NC M.S.A.",152338,2007
13986,396,1624,Total area actually reporting,65,3389,,,344,11,100,5357,,116,588,Includes Onslow County,"Jacksonville, NC M.S.A.",152338,2007
13987,3516.5,2224.7,"Rate per 100,000 inhabitants",76.1,225.8,,,,42.7,386,1066.1,,259.9,7.2,Includes Onslow County,"Jacksonville, NC M.S.A.",152338,2007
13988,78,431,City of Janesville,25,2217,,,83,0,63383,2731,,55,158,Includes Rock County,"Janesville, WI M.S.A.",160629,2007
13989,193,964,Total area actually reporting,47,4266,,,232,5,100,5462,,125,370,Includes Rock County,"Janesville, WI M.S.A.",160629,2007
13990,3400.4,2655.8,"Rate per 100,000 inhabitants",77.8,144.4,,,,29.3,230.3,600.1,,120.2,3.1,Includes Rock County,"Janesville, WI M.S.A.",160629,2007
13991,230,244,City of Jefferson City,25,1186,,,54,1,39121,1484,,30,286,"Includes Callaway, Cole, Moniteau,2 and Osage Counties","Jefferson City, MO M.S.A.2",145564,2007
13992,383,731,Total area actually reporting,41,2921,,,196,3,100,3848,,44,471,"Includes Callaway, Cole, Moniteau,2 and Osage Counties","Jefferson City, MO M.S.A.2",145564,2007
13993,2643.5,2006.7,"Rate per 100,000 inhabitants",30.2,134.6,,,,28.2,323.6,502.2,,263.1,2.1,"Includes Callaway, Cole, Moniteau,2 and Osage Counties","Jefferson City, MO M.S.A.2",145564,2007
13994,263,566,City of Johnson City,22,2295,,,162,1,60488,3023,,57,343,"Includes Carter, Unicoi, and Washington Counties","Johnson City, TN M.S.A.",194592,2007
13995,698,1395,Total area actually reporting,35,4286,,,353,4,100,6034,,77,814,"Includes Carter, Unicoi, and Washington Counties","Johnson City, TN M.S.A.",194592,2007
13996,3100.8,2202.6,"Rate per 100,000 inhabitants",39.6,181.4,,,,18,418.3,716.9,,358.7,2.1,"Includes Carter, Unicoi, and Washington Counties","Johnson City, TN M.S.A.",194592,2007
13997,84,262,City of Johnstown,3,546,,,56,1,23609,864,,57,145,Includes Cambria County,"Johnstown, PA M.S.A.",145844,2007
13998,201,542,Total area actually reporting,9,2084,,,166,2,91.9,2792,,77,289,Includes Cambria County,"Johnstown, PA M.S.A.",145844,2007
13999,219,578,Estimated total,11,2272,,,180,2,100,3030,,84,316,Includes Cambria County,"Johnstown, PA M.S.A.",145844,2007
14000,2077.6,1557.8,"Rate per 100,000 inhabitants",57.6,123.4,,,,7.5,216.7,396.3,,150.2,1.4,Includes Cambria County,"Johnstown, PA M.S.A.",145844,2007
14001,206,1419,City of Jonesboro,30,1993,,,114,5,61199,3526,,92,333,Includes Craighead and Poinsett Counties,"Jonesboro, AR M.S.A.",114222,2007
14002,324,2021,Total area actually reporting,46,2875,,,164,5,100,5060,,102,477,Includes Craighead and Poinsett Counties,"Jonesboro, AR M.S.A.",114222,2007
14003,4430,2517,"Rate per 100,000 inhabitants",89.3,143.6,,,,40.3,417.6,1769.4,,283.7,4.4,Includes Craighead and Poinsett Counties,"Jonesboro, AR M.S.A.",114222,2007
14004,242,845,City of Joplin,38,3554,,,413,1,48261,4812,,91,372,Includes Jasper and Newton Counties,"Joplin, MO M.S.A.",170012,2007
14005,504,1563,Total area actually reporting,65,5897,,,642,8,100,8102,,110,687,Includes Jasper and Newton Counties,"Joplin, MO M.S.A.",170012,2007
14006,4765.5,3468.6,"Rate per 100,000 inhabitants",64.7,377.6,,,,38.2,404.1,919.3,,296.4,4.7,Includes Jasper and Newton Counties,"Joplin, MO M.S.A.",170012,2007
14007,443,1039,City of Kalamazoo,81,3089,,,344,9,71462,4472,,302,835,Includes Kalamazoo and Van Buren Counties,"Kalamazoo-Portage, MI M.S.A.",318778,2007
14008,63,343,City of Portage,20,1708,,,73,1,45287,2124,,20,104,Includes Kalamazoo and Van Buren Counties,"Kalamazoo-Portage, MI M.S.A.",318778,2007
14009,846,2796,Total area actually reporting,219,8630,,,787,14,98.9,12213,,398,1477,Includes Kalamazoo and Van Buren Counties,"Kalamazoo-Portage, MI M.S.A.",318778,2007
14010,853,2816,Estimated total,220,8704,,,798,14,100,12318,,400,1487,Includes Kalamazoo and Van Buren Counties,"Kalamazoo-Portage, MI M.S.A.",318778,2007
14011,3864.1,2730.4,"Rate per 100,000 inhabitants",125.5,250.3,,,,69,466.5,883.4,,267.6,4.4,Includes Kalamazoo and Van Buren Counties,"Kalamazoo-Portage, MI M.S.A.",318778,2007
14012,166,341,City of Kennewick,38,1862,,,159,1,63147,2362,,31,236,Includes Benton and Franklin Counties,"Kennewick-Pasco-Richland, WA M.S.A.",231368,2007
14013,78,408,City of Pasco,29,1138,,,265,0,52761,1811,,43,150,Includes Benton and Franklin Counties,"Kennewick-Pasco-Richland, WA M.S.A.",231368,2007
14014,69,213,City of Richland,13,960,,,76,0,45555,1249,,23,105,Includes Benton and Franklin Counties,"Kennewick-Pasco-Richland, WA M.S.A.",231368,2007
14015,376,1325,Total area actually reporting,93,4704,,,590,4,100,6619,,101,574,Includes Benton and Franklin Counties,"Kennewick-Pasco-Richland, WA M.S.A.",231368,2007
14016,2860.8,2033.1,"Rate per 100,000 inhabitants",43.7,255,,,,40.2,248.1,572.7,,162.5,1.7,Includes Benton and Franklin Counties,"Kennewick-Pasco-Richland, WA M.S.A.",231368,2007
14017,519,2319,City of Killeen,82,3098,,,263,12,104188,5680,,202,815,"Includes Bell, Coryell, and Lampasas Counties","Killeen-Temple-Fort Hood, TX M.S.A.",354141,2007
14018,104,723,City of Temple,22,2107,,,143,1,55057,2973,,76,203,"Includes Bell, Coryell, and Lampasas Counties","Killeen-Temple-Fort Hood, TX M.S.A.",354141,2007
14019,880,4247,Total area actually reporting,156,8155,,,579,19,99.7,12981,,344,1399,"Includes Bell, Coryell, and Lampasas Counties","Killeen-Temple-Fort Hood, TX M.S.A.",354141,2007
14020,882,4255,Estimated total,156,8183,,,582,19,100,13020,,345,1402,"Includes Bell, Coryell, and Lampasas Counties","Killeen-Temple-Fort Hood, TX M.S.A.",354141,2007
14021,3676.5,2310.7,"Rate per 100,000 inhabitants",97.4,164.3,,,,44.1,395.9,1201.5,,249.1,5.4,"Includes Bell, Coryell, and Lampasas Counties","Killeen-Temple-Fort Hood, TX M.S.A.",354141,2007
14022,255,521,"City of Kingsport, TN",21,2395,,,148,2,44079,3064,,57,335,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA","Kingsport-Bristol-Bristol, TN-VA M.S.A.",305118,2007
14023,92,207,"City of Bristol, TN",16,1129,,,100,0,25346,1436,,9,117,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA","Kingsport-Bristol-Bristol, TN-VA M.S.A.",305118,2007
14024,49,122,"City of Bristol, VA",11,604,,,38,0,17484,764,,17,77,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA","Kingsport-Bristol-Bristol, TN-VA M.S.A.",305118,2007
14025,894,2394,Total area actually reporting,120,8185,,,729,8,100,11308,,124,1146,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA","Kingsport-Bristol-Bristol, TN-VA M.S.A.",305118,2007
14026,3706.1,2682.6,"Rate per 100,000 inhabitants",40.6,238.9,,,,39.3,375.6,784.6,,293,2.6,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA","Kingsport-Bristol-Bristol, TN-VA M.S.A.",305118,2007
14027,23,122,City of Kingston,5,551,,,26,1,22741,699,,38,67,Includes Ulster County,"Kingston, NY M.S.A.",182932,2007
14028,346,623,Total area actually reporting,41,2251,,,129,3,100,3003,,66,456,Includes Ulster County,"Kingston, NY M.S.A.",182932,2007
14029,1641.6,1230.5,"Rate per 100,000 inhabitants",36.1,70.5,,,,22.4,249.3,340.6,,189.1,1.6,Includes Ulster County,"Kingston, NY M.S.A.",182932,2007
14030,1241,2507,City of Knoxville,109,8984,,,1371,27,183319,12862,,681,2058,"Includes Anderson, Blount, Knox, Loudon, and Union Counties","Knoxville, TN M.S.A.",682242,2007
14031,2459,6168,Total area actually reporting,202,18024,,,2482,38,100,26674,,903,3602,"Includes Anderson, Blount, Knox, Loudon, and Union Counties","Knoxville, TN M.S.A.",682242,2007
14032,3909.8,2641.9,"Rate per 100,000 inhabitants",132.4,363.8,,,,29.6,528,904.1,,360.4,5.6,"Includes Anderson, Blount, Knox, Loudon, and Union Counties","Knoxville, TN M.S.A.",682242,2007
14033,133,450,City of Kokomo,20,2142,,,125,1,45832,2717,,62,216,Includes Howard and Tipton Counties,"Kokomo, IN M.S.A.",100734,2007
14034,184,703,Total area actually reporting,24,2679,,,150,1,100,3532,,68,277,Includes Howard and Tipton Counties,"Kokomo, IN M.S.A.",100734,2007
14035,3506.3,2659.5,"Rate per 100,000 inhabitants",67.5,148.9,,,,23.8,275,697.9,,182.7,1,Includes Howard and Tipton Counties,"Kokomo, IN M.S.A.",100734,2007
14036,126,305,"City of La Crosse, WI",15,1475,,,87,1,50032,1867,,22,164,"Includes Houston County, MN5 and La Crosse County, WI","La Crosse, WI-MN M.S.A.5",129892,2007
14037,162,472,Total area actually reporting,,2436,,,131,1,95.1,3039,,29,,"Includes Houston County, MN5 and La Crosse County, WI","La Crosse, WI-MN M.S.A.5",129892,2007
14038,168,503,Estimated total,,2604,,,144,1,100,3251,,32,,"Includes Houston County, MN5 and La Crosse County, WI","La Crosse, WI-MN M.S.A.5",129892,2007
14039,2502.8,2004.7,"Rate per 100,000 inhabitants",24.6,110.9,,,,,,387.2,,129.3,0.8,"Includes Houston County, MN5 and La Crosse County, WI","La Crosse, WI-MN M.S.A.5",129892,2007
14040,199,610,City of Lafayette,36,2290,,,183,0,61257,3083,,68,303,"Includes Benton, Carroll, and Tippecanoe Counties","Lafayette, IN M.S.A.",186687,2007
14041,305,1157,Total area actually reporting,57,3783,,,279,2,95.2,5219,,79,443,"Includes Benton, Carroll, and Tippecanoe Counties","Lafayette, IN M.S.A.",186687,2007
14042,312,1194,Estimated total,58,3915,,,294,2,100,5403,,82,454,"Includes Benton, Carroll, and Tippecanoe Counties","Lafayette, IN M.S.A.",186687,2007
14043,2894.1,2097.1,"Rate per 100,000 inhabitants",43.9,157.5,,,,31.1,243.2,639.6,,167.1,1.1,"Includes Benton, Carroll, and Tippecanoe Counties","Lafayette, IN M.S.A.",186687,2007
14044,891,1410,City of Lafayette,68,5152,,,556,15,114212,7118,,319,1293,Includes Lafayette and St. Martin Parishes,"Lafayette, LA M.S.A.",255453,2007
14045,1360,2147,Total area actually reporting,104,6884,,,792,22,91.7,9823,,394,1880,Includes Lafayette and St. Martin Parishes,"Lafayette, LA M.S.A.",255453,2007
14046,1477,2357,Estimated total,112,7739,,,857,24,100,10953,,416,2029,Includes Lafayette and St. Martin Parishes,"Lafayette, LA M.S.A.",255453,2007
14047,4287.7,3029.5,"Rate per 100,000 inhabitants",162.8,335.5,,,,43.8,794.3,922.7,,578.2,9.4,Includes Lafayette and St. Martin Parishes,"Lafayette, LA M.S.A.",255453,2007
14048,101,307,City of Lake Havasu City,20,1388,,,118,5,58699,1813,,8,134,Includes Mohave County,"Lake Havasu City-Kingman, AZ M.S.A.",199339,2007
14049,64,415,City of Kingman,8,1485,,,170,1,28306,2070,,16,89,Includes Mohave County,"Lake Havasu City-Kingman, AZ M.S.A.",199339,2007
14050,435,2242,Total area actually reporting,34,5977,,,778,16,100,8997,,78,563,Includes Mohave County,"Lake Havasu City-Kingman, AZ M.S.A.",199339,2007
14051,4513.4,2998.4,"Rate per 100,000 inhabitants",39.1,390.3,,,,17.1,282.4,1124.7,,218.2,8,Includes Mohave County,"Lake Havasu City-Kingman, AZ M.S.A.",199339,2007
14052,354,1093,City of Lakeland,39,3956,,,323,6,91009,5372,,201,600,Includes Polk County,"Lakeland-Winter Haven, FL M.S.A.",568435,2007
14053,120,507,City of Winter Haven,20,1355,,,146,2,31556,2008,,76,218,Includes Polk County,"Lakeland-Winter Haven, FL M.S.A.",568435,2007
14054,2068,6292,Total area actually reporting,190,14337,,,1622,31,99.5,22251,,731,3020,Includes Polk County,"Lakeland-Winter Haven, FL M.S.A.",568435,2007
14055,2079,6318,Estimated total,191,14417,,,1633,31,100,22368,,737,3038,Includes Polk County,"Lakeland-Winter Haven, FL M.S.A.",568435,2007
14056,3935,2536.3,"Rate per 100,000 inhabitants",129.7,287.3,,,,33.6,534.4,1111.5,,365.7,5.5,Includes Polk County,"Lakeland-Winter Haven, FL M.S.A.",568435,2007
14057,231,556,City of Lancaster,38,2441,,,255,5,54562,3252,,241,515,Includes Lancaster County,"Lancaster, PA M.S.A.",496516,2007
14058,477,1948,Total area actually reporting,104,7779,,,650,12,97.4,10377,,385,978,Includes Lancaster County,"Lancaster, PA M.S.A.",496516,2007
14059,496,1987,Estimated total,106,7984,,,665,12,100,10636,,393,1007,Includes Lancaster County,"Lancaster, PA M.S.A.",496516,2007
14060,2142.1,1608,"Rate per 100,000 inhabitants",79.2,133.9,,,,21.3,202.8,400.2,,99.9,2.4,Includes Lancaster County,"Lancaster, PA M.S.A.",496516,2007
14061,867,1252,City of Lansing,92,2517,,,355,16,113643,4124,,269,1244,"Includes Clinton, Eaton, and Ingham Counties","Lansing-East Lansing, MI M.S.A.",452907,2007
14062,145,231,City of East Lansing,22,700,,,47,0,45979,978,,34,201,"Includes Clinton, Eaton, and Ingham Counties","Lansing-East Lansing, MI M.S.A.",452907,2007
14063,1328,2824,Total area actually reporting,247,7853,,,677,21,96.9,11354,,387,1983,"Includes Clinton, Eaton, and Ingham Counties","Lansing-East Lansing, MI M.S.A.",452907,2007
14064,1358,2904,Estimated total,252,8150,,,720,21,100,11774,,397,2028,"Includes Clinton, Eaton, and Ingham Counties","Lansing-East Lansing, MI M.S.A.",452907,2007
14065,2599.7,1799.5,"Rate per 100,000 inhabitants",87.7,159,,,,55.6,447.8,641.2,,299.8,4.6,"Includes Clinton, Eaton, and Ingham Counties","Lansing-East Lansing, MI M.S.A.",452907,2007
14066,865,1878,City of Laredo,81,10534,,,1537,10,221253,13949,,325,1281,Includes Webb County,"Laredo, TX M.S.A.",237170,2007
14067,907,2015,Total area actually reporting,82,10800,,,1584,13,100,14399,,340,1342,Includes Webb County,"Laredo, TX M.S.A.",237170,2007
14068,6071.2,4553.7,"Rate per 100,000 inhabitants",143.4,667.9,,,,34.6,565.8,849.6,,382.4,5.5,Includes Webb County,"Laredo, TX M.S.A.",237170,2007
14069,295,860,City of Las Cruces2,40,3158,,,260,6,87958,4278,,96,437,Includes Dona Ana County,"Las Cruces, NM M.S.A.2",196085,2007
14070,629,1346,Total area actually reporting,96,4027,,,429,10,98.9,5802,,125,860,Includes Dona Ana County,"Las Cruces, NM M.S.A.2",196085,2007
14071,640,1363,Estimated total,97,4068,,,437,10,100,5868,,126,873,Includes Dona Ana County,"Las Cruces, NM M.S.A.2",196085,2007
14072,2992.6,2074.6,"Rate per 100,000 inhabitants",64.3,222.9,,,,49.5,445.2,695.1,,326.4,5.1,Includes Dona Ana County,"Las Cruces, NM M.S.A.2",196085,2007
14073,7548,15296,City of Las Vegas Metropolitan Police Department,723,27156,,,16445,119,1341156,58897,,5251,13641,Includes Clark County,"Las Vegas-Paradise, NV M.S.A.",1834533,2007
14074,9081,19784,Total area actually reporting,849,35846,,,20136,157,100,75766,,6185,16272,Includes Clark County,"Las Vegas-Paradise, NV M.S.A.",1834533,2007
14075,4130,1954,"Rate per 100,000 inhabitants",337.1,1097.6,,,,46.3,887,1078.4,,495,8.6,Includes Clark County,"Las Vegas-Paradise, NV M.S.A.",1834533,2007
14076,298,550,City of Lawrence,48,4283,,,197,0,90044,5030,,63,409,Includes Douglas County,"Lawrence, KS M.S.A.",114212,2007
14077,344,688,Total area actually reporting,59,4855,,,231,2,100,5774,,66,471,Includes Douglas County,"Lawrence, KS M.S.A.",114212,2007
14078,5055.5,4250.9,"Rate per 100,000 inhabitants",57.8,202.3,,,,51.7,412.4,602.4,,301.2,1.8,Includes Douglas County,"Lawrence, KS M.S.A.",114212,2007
14079,807,1555,City of Lawton,75,2813,,,270,9,86864,4638,,184,1075,Includes Comanche County,"Lawton, OK M.S.A.",109016,2007
14080,815,1619,Total area actually reporting,80,2960,,,292,10,100,4871,,187,1092,Includes Comanche County,"Lawton, OK M.S.A.",109016,2007
14081,4468.2,2715.2,"Rate per 100,000 inhabitants",171.5,267.9,,,,73.4,1001.7,1485.1,,747.6,9.2,Includes Comanche County,"Lawton, OK M.S.A.",109016,2007
14082,54,124,City of Lebanon,13,581,,,63,1,24144,768,,44,112,Includes Lebanon County,"Lebanon, PA M.S.A.",127496,2007
14083,198,310,Total area actually reporting,37,1663,,,104,1,96.4,2077,,72,308,Includes Lebanon County,"Lebanon, PA M.S.A.",127496,2007
14084,205,324,Estimated total,38,1736,,,109,1,100,2169,,75,319,Includes Lebanon County,"Lebanon, PA M.S.A.",127496,2007
14085,1701.2,1361.6,"Rate per 100,000 inhabitants",58.8,85.5,,,,29.8,250.2,254.1,,160.8,0.8,Includes Lebanon County,"Lebanon, PA M.S.A.",127496,2007
14086,25,239,"City of Lewiston, ID",12,959,,,60,1,31356,1258,,3,41,"Includes Nez Perce County, ID and Asotin County, WA","Lewiston, ID-WA M.S.A.",59973,2007
14087,53,340,Total area actually reporting,13,1445,,,98,1,100,1883,,8,75,"Includes Nez Perce County, ID and Asotin County, WA","Lewiston, ID-WA M.S.A.",59973,2007
14088,3139.7,2409.4,"Rate per 100,000 inhabitants",13.3,163.4,,,,21.7,125.1,566.9,,88.4,1.7,"Includes Nez Perce County, ID and Asotin County, WA","Lewiston, ID-WA M.S.A.",59973,2007
14089,38,260,City of Lewiston,23,813,,,44,2,35747,1117,,34,97,Includes Androscoggin County,"Lewiston-Auburn, ME M.S.A.",107169,2007
14090,11,152,City of Auburn,6,633,,,32,2,23150,817,,10,29,Includes Androscoggin County,"Lewiston-Auburn, ME M.S.A.",107169,2007
14091,66,605,Total area actually reporting,39,1908,,,110,4,100,2623,,46,155,Includes Androscoggin County,"Lewiston-Auburn, ME M.S.A.",107169,2007
14092,2447.5,1780.4,"Rate per 100,000 inhabitants",42.9,102.6,,,,36.4,144.6,564.5,,61.6,3.7,Includes Androscoggin County,"Lewiston-Auburn, ME M.S.A.",107169,2007
14093,1113,2114,City of Lexington,111,6623,,,612,16,272815,9349,,550,1790,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties","Lexington-Fayette, KY M.S.A.",441674,2007
14094,1233,3065,Total area actually reporting,151,10009,,,841,20,94.4,13915,,624,2028,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties","Lexington-Fayette, KY M.S.A.",441674,2007
14095,1258,3170,Estimated total,156,10304,,,870,20,100,14344,,636,2070,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties","Lexington-Fayette, KY M.S.A.",441674,2007
14096,3247.6,2332.9,"Rate per 100,000 inhabitants",144,197,,,,35.3,468.7,717.7,,284.8,4.5,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties","Lexington-Fayette, KY M.S.A.",441674,2007
14097,195,773,City of Lima,46,1681,,,179,1,37767,2633,,109,351,Includes Allen County,"Lima, OH M.S.A.",105114,2007
14098,219,1047,Total area actually reporting,61,2827,,,223,2,91.8,4097,,128,410,Includes Allen County,"Lima, OH M.S.A.",105114,2007
14099,226,1093,Estimated total,64,3018,,,237,2,100,4348,,134,426,Includes Allen County,"Lima, OH M.S.A.",105114,2007
14100,4136.5,2871.2,"Rate per 100,000 inhabitants",127.5,225.5,,,,60.9,405.3,1039.8,,215,1.9,Includes Allen County,"Lima, OH M.S.A.",105114,2007
14101,1033,1904,City of Lincoln,113,9428,,,423,6,243243,11755,,173,1325,Includes Lancaster and Seward Counties,"Lincoln, NE M.S.A.",286039,2007
14102,1059,2063,Total area actually reporting,116,10098,,,458,8,100,12619,,175,1358,Includes Lancaster and Seward Counties,"Lincoln, NE M.S.A.",286039,2007
14103,4411.6,3530.3,"Rate per 100,000 inhabitants",61.2,160.1,,,,40.6,474.8,721.2,,370.2,2.8,Includes Lancaster and Seward Counties,"Lincoln, NE M.S.A.",286039,2007
14104,1791,3932,City of Little Rock,123,10915,,,1265,51,184594,16112,,1022,2987,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties","Little Rock-North Little Rock-Conway, AR M.S.A.",659776,2007
14105,519,1537,City of North Little Rock,39,3799,,,509,18,58680,5845,,232,808,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties","Little Rock-North Little Rock-Conway, AR M.S.A.",659776,2007
14106,79,465,City of Conway,39,1681,,,173,1,57245,2319,,64,183,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties","Little Rock-North Little Rock-Conway, AR M.S.A.",659776,2007
14107,3568,9459,Total area actually reporting,318,24193,,,2809,87,99.8,36461,,1503,5476,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties","Little Rock-North Little Rock-Conway, AR M.S.A.",659776,2007
14108,3573,9476,Estimated total,319,24232,,,2812,87,100,36520,,1505,5484,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties","Little Rock-North Little Rock-Conway, AR M.S.A.",659776,2007
14109,5535.2,3672.8,"Rate per 100,000 inhabitants",228.1,426.2,,,,48.3,831.2,1436.2,,541.5,13.2,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties","Little Rock-North Little Rock-Conway, AR M.S.A.",659776,2007
14110,21,60,"City of Logan, UT",3,337,,,20,0,48403,417,,3,27,"Includes Franklin County, ID and Cache County, UT","Logan, UT-ID M.S.A.",114216,2007
14111,54,287,Total area actually reporting,26,1184,,,54,0,100,1525,,5,85,"Includes Franklin County, ID and Cache County, UT","Logan, UT-ID M.S.A.",114216,2007
14112,1335.2,1036.6,"Rate per 100,000 inhabitants",4.4,47.3,,,,22.8,74.4,251.3,,47.3,0,"Includes Franklin County, ID and Cache County, UT","Logan, UT-ID M.S.A.",114216,2007
14113,479,1091,City of Longview,54,3415,,,465,5,75288,4971,,185,723,"Includes Gregg, Rusk, and Upshur Counties","Longview, TX M.S.A.",204652,2007
14114,841,2286,Total area actually reporting,142,6676,,,878,9,99.4,9840,,245,1237,"Includes Gregg, Rusk, and Upshur Counties","Longview, TX M.S.A.",204652,2007
14115,843,2295,Estimated total,142,6706,,,881,9,100,9882,,246,1240,"Includes Gregg, Rusk, and Upshur Counties","Longview, TX M.S.A.",204652,2007
14116,4828.7,3276.8,"Rate per 100,000 inhabitants",120.2,430.5,,,,69.4,605.9,1121.4,,411.9,4.4,"Includes Gregg, Rusk, and Upshur Counties","Longview, TX M.S.A.",204652,2007
14117,47,480,City of Longview,45,1662,,,199,3,37068,2341,,39,134,Includes Cowlitz County,"Longview, WA M.S.A.",100916,2007
14118,147,953,Total area actually reporting,82,3056,,,369,3,100,4378,,64,296,Includes Cowlitz County,"Longview, WA M.S.A.",100916,2007
14119,4338.3,3028.3,"Rate per 100,000 inhabitants",63.4,365.7,,,,81.3,293.3,944.3,,145.7,3,Includes Cowlitz County,"Longview, WA M.S.A.",100916,2007
14120,12926,19629,City of Los Angeles,1004,58304,,,23524,395,3870487,101457,,13481,27806,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14121,1740,2905,City of Long Beach,138,7214,,,2860,42,473959,12979,,1506,3426,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14122,1080,1013,City of Santa Ana,65,4684,,,2100,23,340223,7797,,779,1947,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14123,729,1827,City of Anaheim,96,5695,,,1276,17,335133,8798,,581,1423,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14124,195,611,City of Glendale,12,2533,,,523,2,200049,3667,,166,375,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14125,76,637,City of Irvine,19,2404,,,215,4,201872,3256,,44,143,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14126,691,972,City of Pomona,32,3085,,,1154,27,155161,5211,,485,1235,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14127,397,825,City of Pasadena,33,2993,,,486,11,145553,4304,,303,744,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14128,107,476,City of Torrance,21,2250,,,461,2,142970,3187,,213,343,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14129,141,458,City of Orange,8,2158,,,433,1,135818,3049,,116,266,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14130,235,883,City of Fullerton,41,2731,,,514,5,133855,4128,,186,467,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14131,142,509,City of Costa Mesa,39,2426,,,401,0,109835,3336,,77,258,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14132,159,487,City of Burbank,14,1840,,,440,3,104871,2767,,98,274,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
